tree,group,Early_period,Late_period,diff,mat,map,maa,lat,lon,spp,fixer,lifeform,prediff,aidiff,tmpdiff
015 _XX_ M400,g,-0.803291015538916,-1.5747394167846869,-0.7714484012457709,-1.3089743721657074,36.59961605438819,1.1666362022889183,68.5,27.5,Pinus sylvestris,n,e,5.250989163576897,0.07080631932573034,0.45390108637921145
133 _XX_ ME,a,0.00946373414005484,-0.7263267427233082,-0.7357904768633631,12.11525662954037,100.87269403078618,1.4332615677329794,43.153,-1.596,Quercus robur,n,d,-0.44126341997922225,-0.1069715448891605,0.9982418248941585
174 _XX_ meaz,a,-1.0844554920960694,0.510870418856384,1.5953259109524534,25.07769264563536,118.55102751189126,1.1751628016799105,15.6,99.2,Melia azedarach,n,d,-14.99410362173785,-0.1456332800257336,0.3774360747564387
098 _XX_ MIN,g,-3.449913185055765,-4.046114648144488,-0.5962014630887227,1.5557692738297657,41.74576999163016,0.8517670394135848,53.43,91.833,Pinus sylvestris,n,e,-1.0721803177568248,-0.03051775537046908,0.8639096775673369
108 _XX_ MON,g,-0.7611472701929637,-0.7626501333667975,-0.0015028631738338571,10.50884632455806,68.02500123274632,1.0819380433094865,44.29,11.18,Pinus sylvestris,n,e,6.1966537119268,0.009806434659705321,0.8759240022786976
099 _XX_ MS nigra,g,-1.9661880938221572,-2.097878100626162,-0.131690006804005,9.781666859678731,46.56589823930692,0.5164650122799957,40.322,-0.702,Pinus nigra,n,e,-4.108571443103607,-0.06152539139012553,1.1200000172569666
099 _XX_ MS sylvestris,g,-1.8870628301702663,-3.239638821532114,-1.3525759913618478,9.781666859678731,46.56589823930692,0.5164650122799957,40.322,-0.702,Pinus sylvestris,n,e,-7.266547968274068,-0.08581354050612355,1.0383332953566615
030 _XX_ NCZ,g,-0.6459536189029312,0.3391654940595909,0.9851191129625221,13.718974571961622,36.7960263297917,0.3596719641259616,38.115,-2.748,Pinus uncinata,n,e,-1.8774508240551846,-0.013072423368666347,0.6596639724004838
064 _XX_ nie1,a,0.14657897138724577,0.218534592001939,0.07195562061469324,8.502307859387917,56.09756498483893,0.974746329388459,50.12,20.38,Quercus robur,n,d,-1.7841537521094324,-0.023458511811281446,0.3300120435556746
064 _XX_ nie2,g,2.469362685959944,-0.36248877483144554,-2.8318514607913894,8.502307859387917,56.09756498483893,0.974746329388459,50.12,20.38,Pinus sylvestris,n,e,-6.8499216791037725,-0.0971331601621579,0.2516482916881344
091 _XX_ north,g,0.01150260176075205,-2.318342264204009,-2.329844865964761,14.94307719316238,31.69230821034274,0.31759268940783436,34.617,3.1,Pinus halepensis,n,e,0.9292206952904714,0.004405497943592962,0.5344156166175758
180 _XX_ nu,a,-1.931204743863309,-1.6195872344751552,0.3116175093881539,6.170000120319235,89.78423238465419,1.0598020388965517,-41.15,-71.7,Nothofagus pumilio,n,d,3.9393321419469913,0.03654430268690895,0.04471239751699052
158 _XX_ oak,a,-0.5764158568892626,0.4101627818876789,0.9865786387769415,8.502307859387917,56.09756498483893,0.974746329388459,50.05,20.333,Quercus robur,n,d,-3.28724511484711,-0.047169964157498634,0.2912244986514665
179 _XX_ oikhon,g,-1.0324312763211547,-6.687154266098506,-5.654722989777351,-1.2728205112597115,29.09064156680535,0.602397905190121,53.283,107.633,Larix sibirica,n,d,1.5961541800827561,0.005250443055547227,0.9510488899705667
032 _XX_ P. halepensis,g,0.6537275156489051,-1.1848289448947635,-1.8385564605436686,16.832051573655544,46.47461611746978,0.42323836526513536,36.72,-4.965,Pinus halepensis,n,e,1.3554620555594212,0.009238581006060759,0.5543162325486755
051 _XX_ P. smithiana,g,-1.871801057917465,0.5319720614000508,2.403773119317516,4.407179562671062,52.96000095101503,0.6143090786422496,32.416,77.283,Picea smithiana,n,e,-0.4372296742933628,-0.0019339555056675506,-0.27640696418233546
064 _XX_ pan,g,0.6322308946420304,3.3619526856129145,2.729721790970884,6.829487305679001,51.74653924061702,1.0416859645009355,54.88,23.97,Pinus sylvestris,n,e,4.438023039100841,0.04679358169922976,0.3270563425611783
086 _XX_ PE,g,-3.1212869776354424,-1.209461122770534,1.9118258548649083,8.498205291623107,81.36923233209512,1.0626253526850018,42.75,-0.867,Abies alba,n,e,-0.5666044505938572,-0.06366361029378453,0.9196659855143707
040 _XX_ Picea crassifolia,g,-0.8639672753658033,0.4829605642756555,1.3469278396414588,6.2220514042350725,34.6464108824921,0.5253473657827762,35.867,104.033,Picea crassifolia,n,e,-3.8738838010763743,-0.048811077419897764,0.23055312493185198
017 _XX_ Picea crassifolia,g,-0.25113512188344966,-1.5120937945251518,-1.2609586726417021,-0.01333333061864743,33.218846704381015,0.4729537110377234,35.27,101.95,Picea crassifolia,n,e,0.25523776099795725,0.012701998988321805,-0.23642855220962122
138 _XX_ Picea glauca,g,-0.12781605451108996,-0.826016889024353,-0.6982008345132631,7.316538591482319,61.06230876128643,0.7599821729238218,44.73,-94,Picea glauca,n,e,5.778571679275856,0.06571408299733816,0.08775510674431075
080 _XX_ Picea glauca,g,0.06704469049406338,2.097339694389754,2.0302950038956906,-9.210641157818149,19.889231041417673,0.6995530492404695,68.4,-133.8,Picea glauca,n,e,-0.4531660169472218,-0.06585205976042613,1.411773972310738
068 _XX_ Picea schrenkiana,g,-1.326940575685375,-0.775869689974728,0.5510708857106469,1.6794871957542803,21.17000039204573,0.28106939425187427,43.42,81.044,Picea schrenkiana,n,e,2.5190475747698855,0.0175534396151312,0.9742857342674629
045 _XX_ Picea schrenkiana,g,-1.4359197611391834,0.2671250043627164,1.7030447655018999,-1.863974386358108,18.34705159917283,0.23477274818878513,43.22,87.18,Picea schrenkiana,n,e,6.526587493362875,0.05911768489075642,0.6011905181443407
109 _XX_ pili,g,-1.569487391475057,-0.9344182906447192,0.6350691008303377,6.495769339551528,54.77871882738784,0.6898944836455594,31.517,101.7,Picea likiangensis var. balfouriana,n,e,1.448120762531019,0.03097122443907563,-0.27894737845972983
103 _XX_ pimfp,g,-2.436527304996267,-3.926144194152018,-1.489616889155751,-0.03910257155314469,146.69295106851138,3.94269562670142,46.067,10.934,Pinus sylvestris,n,e,9.577273464822127,-0.09795878953708925,0.9233766509727999
158 _XX_ Pine,g,-0.02014874115604215,-3.0441766028636787,-3.0240278617076366,8.502307859387917,56.09756498483893,0.974746329388459,50.05,20.333,Pinus sylvestris,n,e,-3.6726531971474117,-0.06183899191475928,0.3650000041844894
093 _XX_ Pinus armandii,g,-1.6462446372806523,-0.08261515675938738,1.563629480521265,17.47115415426401,94.40371955551016,1.076536330896378,24.483,100.983,Pinus armandii,n,e,-6.92283952417938e-4,-0.02511971500133736,0.3992207919364361
055 _XX_ Pinus longaeva,g,-1.2260186332564753,0.7687801564350231,1.9947987896914983,9.724230961348766,32.63294931897559,0.27074802187206953,37.45,-118.116,Pinus longaeva,n,e,-2.440055071239126,-0.01445588308423558,0.5414834460059357
095 _XX_ Pinus massoniana,g,-0.5794304264294456,-1.6162075562617573,-1.0367771298323116,18.183333649390782,130.46448932401836,1.6760627775788854,25.417,117.417,Pinus massoniana,n,e,5.896134204863017,0.004317183982454953,0.3470933895901389
