year,SPEI_mean,tree,lat,lon
1941,0.8926814081413406,003 _XX_ Sandringham,52.833,0.5
1942,-0.27054718668971744,003 _XX_ Sandringham,52.833,0.5
1943,-1.0297913977078028,003 _XX_ Sandringham,52.833,0.5
1944,-0.5231032222509384,003 _XX_ Sandringham,52.833,0.5
1945,-0.5688300345625196,003 _XX_ Sandringham,52.833,0.5
1946,0.2654940562455782,003 _XX_ Sandringham,52.833,0.5
1947,-0.014374077320098877,003 _XX_ Sandringham,52.833,0.5
1948,0.005323333399636405,003 _XX_ Sandringham,52.833,0.5
1949,-1.3184877974646432,003 _XX_ Sandringham,52.833,0.5
1950,0.18958443190370286,003 _XX_ Sandringham,52.833,0.5
1951,1.3492176761584622,003 _XX_ Sandringham,52.833,0.5
1952,-0.8799168254647937,003 _XX_ Sandringham,52.833,0.5
1953,-0.2942760762359415,003 _XX_ Sandringham,52.833,0.5
1954,0.5183400937489101,003 _XX_ Sandringham,52.833,0.5
1955,0.25362727471760343,003 _XX_ Sandringham,52.833,0.5
1956,0.25224357417651583,003 _XX_ Sandringham,52.833,0.5
1957,-0.7389322050980159,003 _XX_ Sandringham,52.833,0.5
1958,1.5722522735595703,003 _XX_ Sandringham,52.833,0.5
1959,-1.4126311668327876,003 _XX_ Sandringham,52.833,0.5
1960,0.3292321850146566,003 _XX_ Sandringham,52.833,0.5
1961,-0.6772899925708771,003 _XX_ Sandringham,52.833,0.5
1962,-0.34946127448763165,003 _XX_ Sandringham,52.833,0.5
1963,0.1372012346982956,003 _XX_ Sandringham,52.833,0.5
1964,-0.06166973816496985,003 _XX_ Sandringham,52.833,0.5
1965,0.494768140571458,003 _XX_ Sandringham,52.833,0.5
1966,1.0912068145615714,003 _XX_ Sandringham,52.833,0.5
1967,0.08989599027803966,003 _XX_ Sandringham,52.833,0.5
1968,0.6511972802025932,003 _XX_ Sandringham,52.833,0.5
1969,0.9739576833588737,003 _XX_ Sandringham,52.833,0.5
1970,-0.18518295671258653,003 _XX_ Sandringham,52.833,0.5
1971,0.06478527188301086,003 _XX_ Sandringham,52.833,0.5
1972,-0.40441243121001336,003 _XX_ Sandringham,52.833,0.5
1973,0.015240435089383806,003 _XX_ Sandringham,52.833,0.5
1974,-0.6808594571692603,003 _XX_ Sandringham,52.833,0.5
1975,-0.0727955624461174,003 _XX_ Sandringham,52.833,0.5
1976,-1.770969101360866,003 _XX_ Sandringham,52.833,0.5
1977,0.481900760105678,003 _XX_ Sandringham,52.833,0.5
1978,1.028579877955573,003 _XX_ Sandringham,52.833,0.5
1979,1.3054883027715343,003 _XX_ Sandringham,52.833,0.5
1980,0.7057591623493603,003 _XX_ Sandringham,52.833,0.5
1981,0.9815597853490284,003 _XX_ Sandringham,52.833,0.5
1982,0.21844871129308427,003 _XX_ Sandringham,52.833,0.5
1983,0.5601590158683913,003 _XX_ Sandringham,52.833,0.5
1984,-0.0466189831495285,003 _XX_ Sandringham,52.833,0.5
1985,0.9415228239127568,003 _XX_ Sandringham,52.833,0.5
1986,0.7873589867127261,003 _XX_ Sandringham,52.833,0.5
1987,1.3908410796097346,003 _XX_ Sandringham,52.833,0.5
1988,0.7051059603691101,003 _XX_ Sandringham,52.833,0.5
1989,-1.3561912349292211,003 _XX_ Sandringham,52.833,0.5
1990,-1.574214803321021,003 _XX_ Sandringham,52.833,0.5
1991,-0.8562247774430684,003 _XX_ Sandringham,52.833,0.5
1992,-0.3936804490430014,003 _XX_ Sandringham,52.833,0.5
1993,0.2507532888225147,003 _XX_ Sandringham,52.833,0.5
1994,-0.045875070217464654,003 _XX_ Sandringham,52.833,0.5
1995,-1.5037407236439841,003 _XX_ Sandringham,52.833,0.5
1996,-1.5064908010619027,003 _XX_ Sandringham,52.833,0.5
1997,-0.5490962945457015,003 _XX_ Sandringham,52.833,0.5
1998,0.4431558525455849,003 _XX_ Sandringham,52.833,0.5
1999,0.2642342724970409,003 _XX_ Sandringham,52.833,0.5
2000,0.740041264465877,003 _XX_ Sandringham,52.833,0.5
2001,0.8583635623965945,003 _XX_ Sandringham,52.833,0.5
2002,0.07490361058860019,003 _XX_ Sandringham,52.833,0.5
2003,-0.9551073866231101,003 _XX_ Sandringham,52.833,0.5
2004,0.4298503281814711,003 _XX_ Sandringham,52.833,0.5
2005,-0.560054783310209,003 _XX_ Sandringham,52.833,0.5
2006,-0.4460079733814512,003 _XX_ Sandringham,52.833,0.5
2007,0.823065887604441,003 _XX_ Sandringham,52.833,0.5
2008,0.4870071219546454,003 _XX_ Sandringham,52.833,0.5
2009,-0.7958297772066933,003 _XX_ Sandringham,52.833,0.5
2010,-0.26913711960826603,003 _XX_ Sandringham,52.833,0.5
2011,-1.5013937609536308,003 _XX_ Sandringham,52.833,0.5
2012,1.3007083055895887,003 _XX_ Sandringham,52.833,0.5
2013,-0.4149240723678044,003 _XX_ Sandringham,52.833,0.5
2014,0.342931119459016,003 _XX_ Sandringham,52.833,0.5
2015,-0.7624606362410954,003 _XX_ Sandringham,52.833,0.5
2016,0.7852320554000991,003 _XX_ Sandringham,52.833,0.5
2017,-0.5558469854295254,003 _XX_ Sandringham,52.833,0.5
2018,-0.5255992029394422,003 _XX_ Sandringham,52.833,0.5
1901,-0.8853472113609314,003 _XX_ Robertson,52.833,0.5
1902,0.24455600125449045,003 _XX_ Robertson,52.833,0.5
1903,1.1740682747747218,003 _XX_ Robertson,52.833,0.5
1904,-0.28479800054005217,003 _XX_ Robertson,52.833,0.5
1905,-0.6610811906201499,003 _XX_ Robertson,52.833,0.5
1906,-0.496462025812694,003 _XX_ Robertson,52.833,0.5
1907,0.39675173269850866,003 _XX_ Robertson,52.833,0.5
1908,0.07404477415340287,003 _XX_ Robertson,52.833,0.5
1909,0.43732835565294537,003 _XX_ Robertson,52.833,0.5
1910,-0.06687793082424573,003 _XX_ Robertson,52.833,0.5
1911,-1.0212304166385107,003 _XX_ Robertson,52.833,0.5
1912,0.9090232316936765,003 _XX_ Robertson,52.833,0.5
1913,-0.3368437758513859,003 _XX_ Robertson,52.833,0.5
1914,-1.0663460407938277,003 _XX_ Robertson,52.833,0.5
1915,0.19455717311107687,003 _XX_ Robertson,52.833,0.5
1916,1.0264169318335397,003 _XX_ Robertson,52.833,0.5
1917,0.12261574396065303,003 _XX_ Robertson,52.833,0.5
1918,-0.47917310680661884,003 _XX_ Robertson,52.833,0.5
1919,0.5197771755712373,003 _XX_ Robertson,52.833,0.5
1920,0.4289275711136205,003 _XX_ Robertson,52.833,0.5
1921,-2.0193195172718594,003 _XX_ Robertson,52.833,0.5
